Period,INF_Nig,INF_US,NFA,EXPT,IMPT,BDC,COP,EXR,INT_NIG,INT_US,GXP,INT_DIFF,,,,,,,,,,Period,I&E (Quarterly),,,,
2026M5,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M6,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M7,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M8,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M9,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M10,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M11,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2026M12,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M1,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M2,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M3,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M4,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M5,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M6,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M7,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M8,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M9,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M10,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M11,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2027M12,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M1,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M2,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M3,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M4,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M5,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M6,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M7,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M8,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M9,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M10,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M11,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2028M12,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M1,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M2,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M3,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M4,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M5,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M6,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M7,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M8,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M9,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M10,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M11,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2029M12,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M1,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M2,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M3,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M4,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M5,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M6,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M7,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M8,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M9,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M10,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M11,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2030M12,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
2031M1,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
